from	to	value
All Me (Ft. 2 Chainz & Big Sean)	Look What You've Done	arrested
6PM in New York	Views	arrogance
Pop Style	Pound Cake / Paris Morton Music 2 (Ft. JAY-Z)	artist
Jungle	Lord Knows (Ft. Rick Ross)	ashamed
Jungle	Marvin's Room	ashamed
Jungle	Take Care (Ft. Rihanna)	ashamed
Lord Knows (Ft. Rick Ross)	Marvin's Room	ashamed
Lord Knows (Ft. Rick Ross)	Take Care (Ft. Rihanna)	ashamed
Marvin's Room	Take Care (Ft. Rihanna)	ashamed
Energy	I'm Upset	askin
Energy	Sandra's Rose	askin
Energy	Star67	askin
Energy	Survival	askin
Energy	Under Ground Kings	askin
Energy	Worst Behavior	askin
I'm Upset	Sandra's Rose	askin
I'm Upset	Star67	askin
I'm Upset	Survival	askin
I'm Upset	Under Ground Kings	askin
I'm Upset	Worst Behavior	askin
Sandra's Rose	Star67	askin
Sandra's Rose	Survival	askin
Sandra's Rose	Under Ground Kings	askin
Sandra's Rose	Worst Behavior	askin
Star67	Survival	askin
Star67	Under Ground Kings	askin
Star67	Worst Behavior	askin
Survival	Under Ground Kings	askin
Survival	Worst Behavior	askin
Under Ground Kings	Worst Behavior	askin
Buried Alive Interlude (Ft. Kendrick Lamar)	Connect	asleep
6PM in New York	8 Out of 10	ass
6PM in New York	Buried Alive Interlude (Ft. Kendrick Lamar)	ass
6PM in New York	Come Thru	ass
6PM in New York	Energy	ass
6PM in New York	Faithful (Ft. ​dvsn & Pimp C)	ass
6PM in New York	Final Fantasy	ass
6PM in New York	Fire & Desire	ass
6PM in New York	In My Feelings	ass
6PM in New York	Lord Knows (Ft. Rick Ross)	ass
6PM in New York	Nice For What	ass
6PM in New York	Nonstop	ass
6PM in New York	Pop Style	ass
6PM in New York	Practice	ass
6PM in New York	That's How You Feel	ass
6PM in New York	The Motto (Remix) (Ft. Lil Wayne & Tyga)	ass
6PM in New York	The Ride (Ft. The Weeknd)	ass
6PM in New York	U With Me?	ass
6PM in New York	Wu-Tang Forever	ass
8 Out of 10	Buried Alive Interlude (Ft. Kendrick Lamar)	ass
8 Out of 10	Come Thru	ass
8 Out of 10	Energy	ass
8 Out of 10	Faithful (Ft. ​dvsn & Pimp C)	ass
8 Out of 10	Final Fantasy	ass
8 Out of 10	Fire & Desire	ass
8 Out of 10	In My Feelings	ass
8 Out of 10	Lord Knows (Ft. Rick Ross)	ass
8 Out of 10	Nice For What	ass
8 Out of 10	Nonstop	ass
8 Out of 10	Pop Style	ass
8 Out of 10	Practice	ass
8 Out of 10	That's How You Feel	ass
8 Out of 10	The Motto (Remix) (Ft. Lil Wayne & Tyga)	ass
8 Out of 10	The Ride (Ft. The Weeknd)	ass
